From Account,To Account,Amount
243351,200860,137
900964,724106,242
957421,555367,957
969987,827920,240
854677,557191,671
919910,664670,771
255796,474865,489
595555,571966,674
555140,575734,204
884753,817929,456
289333,410475,83
610449,266156,715
171208,742940,937
406026,103910,819
805277,436829,15
124741,596037,512
809743,714081,980
957297,1046203,499
832609,768348,374
582657,956236,879
978963,217778,28
486758,248993,504
1083924,146337,605
320671,1063189,909
240835,954221,214
370273,327810,267
129692,1025545,291
454336,651991,127
542602,644016,429
594037,182280,264
779847,810038,714
1081943,1085029,155
291952,638469,604
411626,534814,805
219586,123272,659
222745,273859,735
829093,401716,659
285308,419094,934
380082,761599,59
459721,824541,629
998053,203117,626
140861,975857,192
792611,1005433,472
101740,509212,938
572093,154008,503
862731,725893,929
171429,763788,291
126542,605273,667
901556,691011,359
153270,258818,329
664254,928392,87
402679,909819,404
757518,698992,886
218554,895062,739
710978,656084,68
722869,281381,112
358962,902337,745
1073692,701751,883
658759,373866,975
659023,681168,379
476660,947081,390
440171,990407,519
648573,538553,862
521740,136320,432
476405,121528,528
770846,332378,564
754722,318750,286
276902,584857,141
889198,510762,311
915917,475227,53
566363,495430,290
481367,1008281,290
397525,272917,461
645526,624725,417
681062,810284,179
841861,415593,353
410527,177366,753
430229,137878,891
195316,813683,930
148949,534549,497
712812,495647,556
676808,100343,549
134491,1092520,723
766930,681443,270
1069064,279046,974
129478,833215,618
785777,381086,623
559297,712455,996
534614,315893,116
960290,228654,763
982013,837422,277
309962,293117,672
106064,507378,873
857321,636253,791
226895,221138,131
800333,1025015,963
641010,194514,21
418557,565643,61
219000,332325,361
358087,117310,276
600318,383559,56
595348,848763,218
521627,127682,872
536807,389597,733
112096,1093003,239
461273,125057,969
815338,470463,741
691514,464960,848
193081,805680,389
187685,541029,465
891189,315597,387
323191,643748,350
122434,155278,912
482851,686631,145
609637,573494,239
532591,607855,833
675215,154833,732
308103,608873,380
1055438,853691,899
748957,782248,243
557436,373796,885
386801,417842,804
910250,1070800,756
341198,580361,296
278892,696197,800
445482,642455,942
883051,1065021,135
225398,777848,29
985588,607023,311
960514,519997,420
887856,897434,239
733079,198813,180
460191,1010470,788
176781,1079873,28
138720,192111,207
413846,788885,303
452691,672299,342
971522,283969,327
1022043,934063,31
583012,1073421,356
539289,554628,817
461943,633789,241
492885,535000,477
137742,207154,193
1066178,649775,18
701763,357021,522
466822,617456,242
275626,370572,892
544174,454571,574
333944,1041375,402
491973,618983,945
168807,852274,550
914670,508843,61
324803,1084752,236
736507,1097292,204
256247,800929,394
1062866,908896,329
764843,1091200,753
1089274,670902,222
647715,438510,641
248454,624042,459
103659,537915,754
369077,226105,886
619252,716002,567
937437,819811,955
128245,762874,952
587667,268425,29
1066241,331565,397
792889,792848,485
984909,847457,876
1093733,309687,450
574050,991739,886
407945,391597,853
1035526,802921,893
335295,625678,424
766328,380139,657
1031609,474780,36
254691,1055847,684
676523,980434,137
865375,627429,306
104368,521458,88
846549,919341,315
707009,1088285,284
206329,210259,939
121339,838566,526
247445,108308,585
984154,851487,107
887457,470000,475
454479,452638,458
1088231,986980,878
890858,279160,109
676785,1085189,365
656244,537440,140
483315,867794,668
295733,503420,978
988856,318202,702
959302,575451,518
879367,1033777,501
327458,577739,811
479875,820945,69
687006,298583,293
1099765,829228,969
1009717,1076563,427
942606,494902,463
399190,663367,327
753358,382584,561
799136,818412,412
1088528,706618,591
540210,1084274,622
326337,307791,896
781441,487063,384
514025,578343,394
338082,924353,120
881627,521375,371
416046,990171,476
438449,746165,313
670956,974576,662
732452,121226,951
439476,621444,673
776551,1084579,165
842031,1013148,355
328538,430927,671
796519,341633,442
